,-20%,Base,20%,parameter
average_evac_time,0.04824377460260647,53.11748758679689,-0.04612767959692331,coeff_risk_perception
hotel_choice,-0.14126450824679465,174.61333333333334,0.526878436163707,coeff_risk_perception
friends_choice,-0.11919880578393266,598.44,-0.39101664327251384,coeff_risk_perception
shelter_choice,2.5644871025794855,44.45333333333333,0.4349130173965247,coeff_risk_perception
stay_choice,-0.24424284717377295,133.74666666666667,-0.46854750274150025,coeff_risk_perception
