,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,RA_base,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
53,7,7,53,SingleRun,24,12,0.04,0.2,0.75,0,348,96,19,0.0,169,250,39,117
54,7,7,54,SingleRun,24,12,0.04,0.2,0.75,0,348,77,20,0.0,174,257,41,123
55,7,7,55,SingleRun,24,12,0.04,0.2,0.75,0,348,57,8,0.0,177,259,41,126
56,7,7,56,SingleRun,24,12,0.04,0.2,0.75,0,348,49,16,0.0,181,266,43,129
57,7,7,57,SingleRun,24,12,0.04,0.2,0.75,0,347,34,5,0.0,183,267,43,131
58,7,7,58,SingleRun,24,12,0.04,0.2,0.75,0,346,30,4,0.0,184,269,43,132
59,7,7,59,SingleRun,24,12,0.04,0.2,0.75,0,346,26,6,0.0,184,273,44,133
60,7,7,60,SingleRun,24,12,0.04,0.2,0.75,0,346,20,6,0.0,185,277,44,134
61,7,7,61,SingleRun,24,12,0.04,0.2,0.75,0,346,14,6,0.0,187,278,46,135
62,7,7,62,SingleRun,24,12,0.04,0.2,0.75,0,346,8,3,0.0,187,280,47,135
63,7,7,63,SingleRun,24,12,0.04,0.2,0.75,0,346,5,0,0.0,187,280,47,135
64,7,7,64,SingleRun,24,12,0.04,0.2,0.75,0,346,5,1,0.0,187,280,47,136
65,7,7,65,SingleRun,24,12,0.04,0.2,0.75,0,346,4,1,0.0,187,281,47,136
66,7,7,66,SingleRun,24,12,0.04,0.2,0.75,0,346,3,0,0.0,187,281,47,136
67,7,7,67,SingleRun,24,12,0.04,0.2,0.75,0,346,3,0,0.0,187,281,47,136
68,7,7,68,SingleRun,24,12,0.04,0.2,0.75,0,346,3,1,0.0,187,282,47,136
69,7,7,69,SingleRun,24,12,0.04,0.2,0.75,0,346,2,0,0.0,187,282,47,136
70,7,7,70,SingleRun,24,12,0.04,0.2,0.75,0,346,2,1,0.0,187,283,47,136
71,7,7,71,SingleRun,24,12,0.04,0.2,0.75,0,346,1,0,0.0,187,283,47,136
72,7,7,72,SingleRun,24,12,0.04,0.2,0.75,0,346,1,1,0.0,187,284,47,136
73,7,7,73,SingleRun,24,12,0.04,0.2,0.75,0,346,0,0,0.0,187,284,47,136
74,7,7,74,SingleRun,24,12,0.04,0.2,0.75,0,346,0,0,0.0,187,284,47,136
75,7,7,75,SingleRun,24,12,0.04,0.2,0.75,0,346,0,0,0.0,187,284,47,136
76,7,7,76,SingleRun,24,12,0.04,0.2,0.75,0,346,0,0,0.0,187,284,47,136
77,7,7,77,SingleRun,24,12,0.04,0.2,0.75,0,346,0,0,0.0,187,284,47,136
78,7,7,78,SingleRun,24,12,0.04,0.2,0.75,0,346,0,0,0.0,187,284,47,136
79,7,7,79,SingleRun,24,12,0.04,0.2,0.75,0,345,1,1,0.0,187,285,47,136
80,7,7,80,SingleRun,24,12,0.04,0.2,0.75,0,330,15,5,0.0,190,286,47,137
81,7,7,81,SingleRun,24,12,0.04,0.2,0.75,0,327,13,3,0.0,190,287,47,139
82,7,7,82,SingleRun,24,12,0.04,0.2,0.75,0,327,10,1,0.0,191,287,47,139
83,7,7,83,SingleRun,24,12,0.04,0.2,0.75,0,327,9,3,0.0,192,288,48,139
84,7,7,84,SingleRun,24,12,0.04,0.2,0.75,0,326,7,2,0.0,192,289,48,140
85,7,7,85,SingleRun,24,12,0.04,0.2,0.75,0,325,6,2,0.0,192,291,48,140
86,7,7,86,SingleRun,24,12,0.04,0.2,0.75,0,325,4,4,0.0,193,293,48,141
87,7,7,87,SingleRun,24,12,0.04,0.2,0.75,0,325,0,0,43.07851851851852,193,293,48,141
88,9,9,0,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
89,9,9,1,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
90,9,9,2,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
91,9,9,3,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
92,9,9,4,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
93,9,9,5,SingleRun,24,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
