,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,3,3,0,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
1,3,3,1,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
2,3,3,2,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
3,3,3,3,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
4,3,3,4,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
5,3,3,5,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
6,3,3,6,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
7,3,3,7,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
8,3,3,8,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
9,3,3,9,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
10,3,3,10,SingleRun,24,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
11,3,3,11,SingleRun,24,12,0.04,0.2,949,51,0,0,0.0,0,0,0,0
12,3,3,12,SingleRun,24,12,0.04,0.2,905,89,6,0,0.0,0,0,0,0
13,3,3,13,SingleRun,24,12,0.04,0.2,475,500,25,0,0.0,0,0,0,0
14,3,3,14,SingleRun,24,12,0.04,0.2,240,633,127,0,0.0,0,0,0,0
15,3,3,15,SingleRun,24,12,0.04,0.2,177,565,258,1,0.0,1,0,0,0
16,3,3,16,SingleRun,24,12,0.04,0.2,159,537,303,0,0.0,1,0,0,0
17,3,3,17,SingleRun,24,12,0.04,0.2,143,532,324,2,0.0,1,1,0,1
18,3,3,18,SingleRun,24,12,0.04,0.2,139,520,338,2,0.0,2,2,0,1
19,3,3,19,SingleRun,24,12,0.04,0.2,129,515,351,22,0.0,6,10,2,9
20,3,3,20,SingleRun,24,12,0.04,0.2,81,487,405,30,0.0,11,27,4,15
21,3,3,21,SingleRun,24,12,0.04,0.2,53,466,424,37,0.0,23,42,5,24
22,3,3,22,SingleRun,24,12,0.04,0.2,32,421,453,52,0.0,38,60,12,36
23,3,3,23,SingleRun,24,12,0.04,0.2,20,408,426,39,0.0,53,74,14,44
24,3,3,24,SingleRun,24,12,0.04,0.2,19,392,404,52,0.0,69,96,19,53
25,3,3,25,SingleRun,24,12,0.04,0.2,5,313,445,42,0.0,86,111,22,60
26,3,3,26,SingleRun,24,12,0.04,0.2,3,279,439,49,0.0,98,131,28,71
27,3,3,27,SingleRun,24,12,0.04,0.2,3,277,392,49,0.0,111,153,30,83
28,3,3,28,SingleRun,24,12,0.04,0.2,3,269,351,41,0.0,124,168,34,92
29,3,3,29,SingleRun,24,12,0.04,0.2,3,268,311,34,0.0,136,178,39,99
30,3,3,30,SingleRun,24,12,0.04,0.2,3,268,277,27,0.0,146,189,40,104
31,3,3,31,SingleRun,24,12,0.04,0.2,2,264,255,28,0.0,153,203,42,109
32,3,3,32,SingleRun,24,12,0.04,0.2,2,262,229,27,0.0,160,214,43,117
33,3,3,33,SingleRun,24,12,0.04,0.2,2,261,203,30,0.0,174,224,48,118
34,3,3,34,SingleRun,24,12,0.04,0.2,1,252,183,23,0.0,180,233,51,123
35,3,3,35,SingleRun,24,12,0.04,0.2,1,249,163,15,0.0,185,239,52,126
36,3,3,36,SingleRun,24,12,0.04,0.2,1,237,160,21,0.0,190,253,52,128
37,3,3,37,SingleRun,24,12,0.04,0.2,0,225,152,20,0.0,194,262,54,133
38,3,3,38,SingleRun,24,12,0.04,0.2,0,219,138,15,0.0,200,267,55,136
39,3,3,39,SingleRun,24,12,0.04,0.2,0,219,123,9,0.0,205,270,55,137
40,3,3,40,SingleRun,24,12,0.04,0.2,0,219,114,18,0.0,211,279,55,140
41,3,3,41,SingleRun,24,12,0.04,0.2,0,219,96,11,0.0,213,285,56,142
42,3,3,42,SingleRun,24,12,0.04,0.2,0,219,85,11,0.0,217,290,56,144
43,3,3,43,SingleRun,24,12,0.04,0.2,0,192,101,11,0.0,221,293,57,147
44,3,3,44,SingleRun,24,12,0.04,0.2,0,188,94,14,0.0,225,298,59,150
45,3,3,45,SingleRun,24,12,0.04,0.2,0,183,85,16,0.0,230,306,61,151
46,3,3,46,SingleRun,24,12,0.04,0.2,0,174,78,16,0.0,235,311,62,156
47,3,3,47,SingleRun,24,12,0.04,0.2,0,153,83,7,0.0,235,313,64,159
48,3,3,48,SingleRun,24,12,0.04,0.2,0,145,84,26,0.0,245,321,66,165
49,3,3,49,SingleRun,24,12,0.04,0.2,0,64,139,28,0.0,253,334,67,171
50,3,3,50,SingleRun,24,12,0.04,0.2,0,62,113,28,0.0,262,342,69,180
51,3,3,51,SingleRun,24,12,0.04,0.2,0,62,85,21,0.0,266,349,69,190
52,3,3,52,SingleRun,24,12,0.04,0.2,0,62,64,16,0.0,270,355,69,196
53,3,3,53,SingleRun,24,12,0.04,0.2,0,62,48,16,0.0,275,364,69,198
