,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,RA_base,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,2,2,0,SingleRun,24,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
1,2,2,1,SingleRun,24,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
2,2,2,2,SingleRun,24,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
3,2,2,3,SingleRun,24,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
4,2,2,4,SingleRun,24,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
5,2,2,5,SingleRun,24,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
6,2,2,6,SingleRun,24,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
7,2,2,7,SingleRun,24,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
8,2,2,8,SingleRun,24,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
9,2,2,9,SingleRun,24,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
10,2,2,10,SingleRun,24,24,0.04,0.2,0.75,942,58,0,0,0.0,0,0,0,0
11,2,2,11,SingleRun,24,24,0.04,0.2,0.75,461,539,0,0,0.0,0,0,0,0
12,2,2,12,SingleRun,24,24,0.04,0.2,0.75,205,766,29,3,0.0,0,2,0,1
13,2,2,13,SingleRun,24,24,0.04,0.2,0.75,29,839,129,9,0.0,3,5,1,3
14,2,2,14,SingleRun,24,24,0.04,0.2,0.75,17,802,169,11,0.0,6,10,4,3
15,2,2,15,SingleRun,24,24,0.04,0.2,0.75,16,788,173,18,0.0,13,16,6,6
16,2,2,16,SingleRun,24,24,0.04,0.2,0.75,16,784,159,12,0.0,16,22,7,8
17,2,2,17,SingleRun,24,24,0.04,0.2,0.75,13,784,150,16,0.0,19,30,9,11
18,2,2,18,SingleRun,24,24,0.04,0.2,0.75,13,782,136,19,0.0,27,37,11,13
19,2,2,19,SingleRun,24,24,0.04,0.2,0.75,11,780,121,13,0.0,31,43,13,14
20,2,2,20,SingleRun,24,24,0.04,0.2,0.75,11,780,108,13,0.0,36,47,16,15
21,2,2,21,SingleRun,24,24,0.04,0.2,0.75,11,769,106,8,0.0,37,52,17,16
22,2,2,22,SingleRun,24,24,0.04,0.2,0.75,10,766,102,14,0.0,41,61,17,17
23,2,2,23,SingleRun,24,24,0.04,0.2,0.75,10,761,93,5,0.0,43,62,17,19
24,2,2,24,SingleRun,24,24,0.04,0.2,0.75,10,759,90,14,0.0,44,68,23,20
25,2,2,25,SingleRun,24,24,0.04,0.2,0.75,5,700,140,12,0.0,45,75,26,21
26,2,2,26,SingleRun,24,24,0.04,0.2,0.75,4,667,162,12,0.0,50,79,28,22
27,2,2,27,SingleRun,24,24,0.04,0.2,0.75,4,663,154,16,0.0,54,84,29,28
28,2,2,28,SingleRun,24,24,0.04,0.2,0.75,3,650,152,14,0.0,55,93,30,31
29,2,2,29,SingleRun,24,24,0.04,0.2,0.75,3,645,143,12,0.0,62,98,30,31
30,2,2,30,SingleRun,24,24,0.04,0.2,0.75,3,644,132,19,0.0,66,110,30,34
31,2,2,31,SingleRun,24,24,0.04,0.2,0.75,3,639,118,9,0.0,68,116,31,34
32,2,2,32,SingleRun,24,24,0.04,0.2,0.75,3,639,109,12,0.0,70,123,32,36
