,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,4,4,0,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
1,4,4,1,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
2,4,4,2,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
3,4,4,3,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
4,4,4,4,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
5,4,4,5,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
6,4,4,6,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
7,4,4,7,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
8,4,4,8,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
9,4,4,9,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
10,4,4,10,SingleRun,24,24,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
11,4,4,11,SingleRun,24,24,0.02,0.1,781,219,0,0,0.0,0,0,0,0
12,4,4,12,SingleRun,24,24,0.02,0.1,544,432,24,2,0.0,1,1,0,0
13,4,4,13,SingleRun,24,24,0.02,0.1,193,648,157,10,0.0,4,7,0,1
14,4,4,14,SingleRun,24,24,0.02,0.1,120,576,292,33,0.0,15,17,3,10
15,4,4,15,SingleRun,24,24,0.02,0.1,102,546,307,27,0.0,26,28,4,14
16,4,4,16,SingleRun,24,24,0.02,0.1,99,534,295,22,0.0,32,34,8,20
17,4,4,17,SingleRun,24,24,0.02,0.1,97,528,281,23,0.0,40,45,8,24
18,4,4,18,SingleRun,24,24,0.02,0.1,93,529,261,25,0.0,48,58,9,27
19,4,4,19,SingleRun,24,24,0.02,0.1,91,527,240,22,0.0,56,65,13,30
20,4,4,20,SingleRun,24,24,0.02,0.1,89,527,220,16,0.0,57,74,13,36
21,4,4,21,SingleRun,24,24,0.02,0.1,84,524,212,20,0.0,65,83,13,39
22,4,4,22,SingleRun,24,24,0.02,0.1,84,522,194,21,0.0,68,92,16,45
23,4,4,23,SingleRun,24,24,0.02,0.1,81,524,174,19,0.0,73,100,19,48
24,4,4,24,SingleRun,24,24,0.02,0.1,76,524,160,20,0.0,78,110,20,52
25,4,4,25,SingleRun,24,24,0.02,0.1,57,496,187,19,0.0,84,117,20,58
26,4,4,26,SingleRun,24,24,0.02,0.1,43,452,226,20,0.0,87,126,22,64
27,4,4,27,SingleRun,24,24,0.02,0.1,41,444,216,28,0.0,98,140,23,66
28,4,4,28,SingleRun,24,24,0.02,0.1,41,440,192,21,0.0,106,149,24,69
29,4,4,29,SingleRun,24,24,0.02,0.1,41,440,171,20,0.0,116,155,25,72
30,4,4,30,SingleRun,24,24,0.02,0.1,41,440,151,20,0.0,122,166,26,74
31,4,4,31,SingleRun,24,24,0.02,0.1,40,440,132,10,0.0,126,170,28,74
32,4,4,32,SingleRun,24,24,0.02,0.1,40,440,122,11,0.0,130,173,29,77
