,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,RA_base,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,7,7,0,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
1,7,7,1,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
2,7,7,2,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
3,7,7,3,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
4,7,7,4,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
5,7,7,5,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
6,7,7,6,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
7,7,7,7,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
8,7,7,8,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
9,7,7,9,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
10,7,7,10,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
11,7,7,11,SingleRun,12,24,0.04,0.2,0.75,951,49,0,0,0.0,0,0,0,0
12,7,7,12,SingleRun,12,24,0.04,0.2,0.75,908,92,0,0,0.0,0,0,0,0
13,7,7,13,SingleRun,12,24,0.04,0.2,0.75,454,543,3,0,0.0,0,0,0,0
14,7,7,14,SingleRun,12,24,0.04,0.2,0.75,222,754,24,0,0.0,0,0,0,0
15,7,7,15,SingleRun,12,24,0.04,0.2,0.75,144,791,65,0,0.0,0,0,0,0
16,7,7,16,SingleRun,12,24,0.04,0.2,0.75,131,794,75,0,0.0,0,0,0,0
17,7,7,17,SingleRun,12,24,0.04,0.2,0.75,118,804,78,0,0.0,0,0,0,0
18,7,7,18,SingleRun,12,24,0.04,0.2,0.75,114,804,82,0,0.0,0,0,0,0
19,7,7,19,SingleRun,12,24,0.04,0.2,0.75,107,806,87,11,0.0,1,9,1,0
20,7,7,20,SingleRun,12,24,0.04,0.2,0.75,62,820,107,7,0.0,2,15,1,0
21,7,7,21,SingleRun,12,24,0.04,0.2,0.75,40,812,130,10,0.0,6,20,1,1
22,7,7,22,SingleRun,12,24,0.04,0.2,0.75,25,799,148,16,0.0,9,30,1,4
23,7,7,23,SingleRun,12,24,0.04,0.2,0.75,17,778,161,18,0.0,15,37,4,6
24,7,7,24,SingleRun,12,24,0.04,0.2,0.75,15,770,153,8,0.0,18,41,5,6
25,7,7,25,SingleRun,12,24,0.04,0.2,0.75,4,725,201,18,0.0,23,50,7,8
26,7,7,26,SingleRun,12,24,0.04,0.2,0.75,2,680,230,27,0.0,30,65,8,12
27,7,7,27,SingleRun,12,24,0.04,0.2,0.75,2,676,207,19,0.0,36,72,11,15
28,7,7,28,SingleRun,12,24,0.04,0.2,0.75,1,670,195,18,0.0,40,80,13,19
29,7,7,29,SingleRun,12,24,0.04,0.2,0.75,1,667,180,26,0.0,47,95,13,23
30,7,7,30,SingleRun,12,24,0.04,0.2,0.75,1,667,154,18,0.0,53,102,15,26
31,7,7,31,SingleRun,12,24,0.04,0.2,0.75,1,661,142,15,0.0,57,108,17,29
32,7,7,32,SingleRun,12,24,0.04,0.2,0.75,1,659,129,13,0.0,61,114,19,30
33,7,7,33,SingleRun,12,24,0.04,0.2,0.75,1,658,117,10,0.0,64,118,20,32
34,7,7,34,SingleRun,12,24,0.04,0.2,0.75,0,644,122,10,0.0,68,123,20,33
35,7,7,35,SingleRun,12,24,0.04,0.2,0.75,0,634,122,13,0.0,72,131,21,33
36,7,7,36,SingleRun,12,24,0.04,0.2,0.75,0,620,123,15,0.0,77,136,23,36
37,7,7,37,SingleRun,12,24,0.04,0.2,0.75,0,490,238,54,0.0,100,151,27,48
38,7,7,38,SingleRun,12,24,0.04,0.2,0.75,0,462,212,47,0.0,112,172,29,60
39,7,7,39,SingleRun,12,24,0.04,0.2,0.75,0,461,166,30,0.0,119,188,31,65
40,7,7,40,SingleRun,12,24,0.04,0.2,0.75,0,456,141,24,0.0,130,196,33,68
41,7,7,41,SingleRun,12,24,0.04,0.2,0.75,0,454,119,30,0.0,137,207,37,76
42,7,7,42,SingleRun,12,24,0.04,0.2,0.75,0,454,89,15,0.0,141,209,40,82
43,7,7,43,SingleRun,12,24,0.04,0.2,0.75,0,422,106,27,0.0,151,222,40,86
44,7,7,44,SingleRun,12,24,0.04,0.2,0.75,0,417,84,9,0.0,155,225,41,87
45,7,7,45,SingleRun,12,24,0.04,0.2,0.75,0,406,86,20,0.0,160,234,42,92
46,7,7,46,SingleRun,12,24,0.04,0.2,0.75,0,400,72,15,0.0,168,240,42,93
47,7,7,47,SingleRun,12,24,0.04,0.2,0.75,0,372,85,16,0.0,174,244,44,97
48,7,7,48,SingleRun,12,24,0.04,0.2,0.75,0,362,79,17,0.0,179,249,45,103
49,7,7,49,SingleRun,12,24,0.04,0.2,0.75,0,348,76,15,0.0,184,252,47,108
50,7,7,50,SingleRun,12,24,0.04,0.2,0.75,0,346,63,14,0.0,188,255,48,114
51,7,7,51,SingleRun,12,24,0.04,0.2,0.75,0,346,49,11,0.0,190,259,48,119
52,7,7,52,SingleRun,12,24,0.04,0.2,0.75,0,346,38,7,0.0,193,260,49,121
53,7,7,53,SingleRun,12,24,0.04,0.2,0.75,0,346,31,10,0.0,199,262,49,123
54,7,7,54,SingleRun,12,24,0.04,0.2,0.75,0,346,21,2,0.0,200,262,49,124
55,7,7,55,SingleRun,12,24,0.04,0.2,0.75,0,346,19,4,0.0,202,263,49,125
56,7,7,56,SingleRun,12,24,0.04,0.2,0.75,0,346,15,3,0.0,203,264,50,125
57,7,7,57,SingleRun,12,24,0.04,0.2,0.75,0,346,12,3,0.0,204,266,50,125
58,7,7,58,SingleRun,12,24,0.04,0.2,0.75,0,346,9,3,0.0,205,266,50,127
59,7,7,59,SingleRun,12,24,0.04,0.2,0.75,0,346,6,2,0.0,206,266,51,127
60,7,7,60,SingleRun,12,24,0.04,0.2,0.75,0,346,4,1,0.0,206,267,51,127
61,7,7,61,SingleRun,12,24,0.04,0.2,0.75,0,346,3,0,0.0,206,267,51,127
62,7,7,62,SingleRun,12,24,0.04,0.2,0.75,0,346,3,0,0.0,206,267,51,127
63,7,7,63,SingleRun,12,24,0.04,0.2,0.75,0,346,3,1,0.0,206,267,51,128
64,7,7,64,SingleRun,12,24,0.04,0.2,0.75,0,346,2,0,0.0,206,267,51,128
65,7,7,65,SingleRun,12,24,0.04,0.2,0.75,0,346,2,0,0.0,206,267,51,128
66,7,7,66,SingleRun,12,24,0.04,0.2,0.75,0,346,2,0,0.0,206,267,51,128
67,7,7,67,SingleRun,12,24,0.04,0.2,0.75,0,346,2,1,0.0,207,267,51,128
68,7,7,68,SingleRun,12,24,0.04,0.2,0.75,0,346,1,0,0.0,207,267,51,128
69,7,7,69,SingleRun,12,24,0.04,0.2,0.75,0,346,1,1,0.0,207,268,51,128
70,7,7,70,SingleRun,12,24,0.04,0.2,0.75,0,346,0,0,0.0,207,268,51,128
71,7,7,71,SingleRun,12,24,0.04,0.2,0.75,0,346,0,0,0.0,207,268,51,128
72,7,7,72,SingleRun,12,24,0.04,0.2,0.75,0,346,0,0,0.0,207,268,51,128
73,7,7,73,SingleRun,12,24,0.04,0.2,0.75,0,346,0,0,0.0,207,268,51,128
74,7,7,74,SingleRun,12,24,0.04,0.2,0.75,0,346,0,0,0.0,207,268,51,128
75,7,7,75,SingleRun,12,24,0.04,0.2,0.75,0,346,0,0,0.0,207,268,51,128
76,7,7,76,SingleRun,12,24,0.04,0.2,0.75,0,346,0,0,0.0,207,268,51,128
77,7,7,77,SingleRun,12,24,0.04,0.2,0.75,0,345,1,0,0.0,207,268,51,128
78,7,7,78,SingleRun,12,24,0.04,0.2,0.75,0,345,1,0,0.0,207,268,51,128
79,7,7,79,SingleRun,12,24,0.04,0.2,0.75,0,345,1,0,0.0,207,268,51,128
80,7,7,80,SingleRun,12,24,0.04,0.2,0.75,0,326,20,5,0.0,208,269,52,130
81,7,7,81,SingleRun,12,24,0.04,0.2,0.75,0,324,17,5,0.0,211,269,53,131
82,7,7,82,SingleRun,12,24,0.04,0.2,0.75,0,324,12,5,0.0,214,271,53,131
83,7,7,83,SingleRun,12,24,0.04,0.2,0.75,0,324,7,1,0.0,215,271,53,131
84,7,7,84,SingleRun,12,24,0.04,0.2,0.75,0,324,6,3,0.0,215,271,53,134
85,7,7,85,SingleRun,12,24,0.04,0.2,0.75,0,324,3,1,0.0,215,272,53,134
86,7,7,86,SingleRun,12,24,0.04,0.2,0.75,0,323,3,3,0.0,215,274,53,135
87,7,7,87,SingleRun,12,24,0.04,0.2,0.75,0,323,0,0,39.42836041358937,215,274,53,135
88,6,6,0,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
89,6,6,1,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
90,6,6,2,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
91,6,6,3,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
92,6,6,4,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
93,6,6,5,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
94,6,6,6,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
95,6,6,7,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
96,6,6,8,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
97,6,6,9,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
98,6,6,10,SingleRun,12,24,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
99,6,6,11,SingleRun,12,24,0.04,0.2,0.75,942,58,0,0,0.0,0,0,0,0
100,6,6,12,SingleRun,12,24,0.04,0.2,0.75,917,83,0,0,0.0,0,0,0,0
101,6,6,13,SingleRun,12,24,0.04,0.2,0.75,485,511,4,0,0.0,0,0,0,0
102,6,6,14,SingleRun,12,24,0.04,0.2,0.75,249,730,21,0,0.0,0,0,0,0
103,6,6,15,SingleRun,12,24,0.04,0.2,0.75,165,787,48,0,0.0,0,0,0,0
104,6,6,16,SingleRun,12,24,0.04,0.2,0.75,153,790,57,1,0.0,0,1,0,0
105,6,6,17,SingleRun,12,24,0.04,0.2,0.75,148,792,59,0,0.0,0,1,0,0
106,6,6,18,SingleRun,12,24,0.04,0.2,0.75,143,792,64,2,0.0,0,3,0,0
107,6,6,19,SingleRun,12,24,0.04,0.2,0.75,139,790,68,5,0.0,3,4,0,1
108,6,6,20,SingleRun,12,24,0.04,0.2,0.75,75,828,89,6,0.0,7,6,0,1
109,6,6,21,SingleRun,12,24,0.04,0.2,0.75,46,837,103,9,0.0,9,12,0,2
