,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,0,0,0,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
1,0,0,1,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
2,0,0,2,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
3,0,0,3,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
4,0,0,4,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
5,0,0,5,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
6,0,0,6,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
7,0,0,7,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
8,0,0,8,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
9,0,0,9,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
10,0,0,10,SingleRun,0,24,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
11,0,0,11,SingleRun,0,24,0.04,0.2,953,47,0,0,0.0,0,0,0,0
12,0,0,12,SingleRun,0,24,0.04,0.2,904,91,5,0,0.0,0,0,0,0
13,0,0,13,SingleRun,0,24,0.04,0.2,489,488,23,0,0.0,0,0,0,0
14,0,0,14,SingleRun,0,24,0.04,0.2,264,607,129,1,0.0,0,0,1,0
15,0,0,15,SingleRun,0,24,0.04,0.2,176,586,237,0,0.0,0,0,1,0
16,0,0,16,SingleRun,0,24,0.04,0.2,153,556,290,1,0.0,1,0,1,0
17,0,0,17,SingleRun,0,24,0.04,0.2,145,542,311,0,0.0,1,0,1,0
18,0,0,18,SingleRun,0,24,0.04,0.2,141,535,322,1,0.0,1,0,2,0
19,0,0,19,SingleRun,0,24,0.04,0.2,128,534,335,1,0.0,1,0,2,1
20,0,0,20,SingleRun,0,24,0.04,0.2,123,535,338,1,0.0,1,1,2,1
21,0,0,21,SingleRun,0,24,0.04,0.2,116,524,355,1,0.0,1,1,3,1
22,0,0,22,SingleRun,0,24,0.04,0.2,112,517,365,1,0.0,2,1,3,1
23,0,0,23,SingleRun,0,24,0.04,0.2,97,510,386,4,0.0,3,4,3,1
24,0,0,24,SingleRun,0,24,0.04,0.2,86,516,387,1,0.0,3,5,3,1
25,0,0,25,SingleRun,0,24,0.04,0.2,23,471,494,2,0.0,3,7,3,1
26,0,0,26,SingleRun,0,24,0.04,0.2,13,406,567,3,0.0,4,8,3,2
27,0,0,27,SingleRun,0,24,0.04,0.2,13,399,571,3,0.0,4,11,3,2
28,0,0,28,SingleRun,0,24,0.04,0.2,12,393,575,6,0.0,7,13,3,3
29,0,0,29,SingleRun,0,24,0.04,0.2,11,393,570,12,0.0,10,20,3,5
30,0,0,30,SingleRun,0,24,0.04,0.2,11,393,558,27,0.0,20,35,3,7
31,0,0,31,SingleRun,0,24,0.04,0.2,9,370,556,44,0.0,34,50,8,17
32,0,0,32,SingleRun,0,24,0.04,0.2,4,329,558,70,0.0,47,80,17,35
33,0,0,33,SingleRun,0,24,0.04,0.2,4,319,498,68,0.0,66,108,25,48
34,0,0,34,SingleRun,0,24,0.04,0.2,1,259,493,64,0.0,88,135,34,54
35,0,0,35,SingleRun,0,24,0.04,0.2,1,243,445,61,0.0,109,156,39,68
36,0,0,36,SingleRun,0,24,0.04,0.2,0,224,404,65,0.0,131,178,48,80
37,0,0,37,SingleRun,0,24,0.04,0.2,0,129,434,75,0.0,152,205,56,99
38,0,0,38,SingleRun,0,24,0.04,0.2,0,119,369,73,0.0,182,231,62,110
39,0,0,39,SingleRun,0,24,0.04,0.2,0,119,296,66,0.0,210,248,66,127
40,0,0,40,SingleRun,0,24,0.04,0.2,0,119,230,41,0.0,222,265,68,137
41,0,0,41,SingleRun,0,24,0.04,0.2,0,117,191,28,0.0,231,278,69,142
42,0,0,42,SingleRun,0,24,0.04,0.2,0,117,163,26,0.0,239,288,72,147
43,0,0,43,SingleRun,0,24,0.04,0.2,0,100,154,27,0.0,251,297,73,152
44,0,0,44,SingleRun,0,24,0.04,0.2,0,99,128,27,0.0,261,305,73,161
45,0,0,45,SingleRun,0,24,0.04,0.2,0,98,102,27,0.0,266,318,75,168
46,0,0,46,SingleRun,0,24,0.04,0.2,0,93,80,18,0.0,272,325,77,171
47,0,0,47,SingleRun,0,24,0.04,0.2,0,75,80,12,0.0,276,326,78,177
48,0,0,48,SingleRun,0,24,0.04,0.2,0,73,70,7,0.0,279,329,79,177
49,0,0,49,SingleRun,0,24,0.04,0.2,0,67,69,10,0.0,280,336,80,178
50,0,0,50,SingleRun,0,24,0.04,0.2,0,67,59,14,0.0,286,340,80,182
51,0,0,51,SingleRun,0,24,0.04,0.2,0,67,45,5,0.0,289,342,80,182
52,0,0,52,SingleRun,0,24,0.04,0.2,0,67,40,10,0.0,292,344,81,186
53,0,0,53,SingleRun,0,24,0.04,0.2,0,67,30,8,0.0,294,348,81,188
54,0,0,54,SingleRun,0,24,0.04,0.2,0,67,22,3,0.0,294,350,81,189
55,0,0,55,SingleRun,0,24,0.04,0.2,0,67,19,5,0.0,294,354,81,190
56,0,0,56,SingleRun,0,24,0.04,0.2,0,67,14,3,0.0,294,355,81,192
57,0,0,57,SingleRun,0,24,0.04,0.2,0,67,11,1,0.0,294,355,81,193
58,0,0,58,SingleRun,0,24,0.04,0.2,0,67,10,2,0.0,296,355,81,193
59,0,0,59,SingleRun,0,24,0.04,0.2,0,67,8,2,0.0,298,355,81,193
60,0,0,60,SingleRun,0,24,0.04,0.2,0,67,6,1,0.0,298,356,81,193
61,0,0,61,SingleRun,0,24,0.04,0.2,0,67,5,1,0.0,299,356,81,193
62,0,0,62,SingleRun,0,24,0.04,0.2,0,67,4,0,0.0,299,356,81,193
63,0,0,63,SingleRun,0,24,0.04,0.2,0,67,4,0,0.0,299,356,81,193
64,0,0,64,SingleRun,0,24,0.04,0.2,0,67,4,1,0.0,299,356,81,194
65,0,0,65,SingleRun,0,24,0.04,0.2,0,67,3,0,0.0,299,356,81,194
66,0,0,66,SingleRun,0,24,0.04,0.2,0,67,3,1,0.0,300,356,81,194
67,0,0,67,SingleRun,0,24,0.04,0.2,0,67,2,0,0.0,300,356,81,194
68,0,0,68,SingleRun,0,24,0.04,0.2,0,67,2,1,0.0,301,356,81,194
69,0,0,69,SingleRun,0,24,0.04,0.2,0,67,1,1,0.0,301,357,81,194
70,0,0,70,SingleRun,0,24,0.04,0.2,0,67,0,0,0.0,301,357,81,194
71,0,0,71,SingleRun,0,24,0.04,0.2,0,67,0,0,0.0,301,357,81,194
72,0,0,72,SingleRun,0,24,0.04,0.2,0,67,0,0,0.0,301,357,81,194
73,0,0,73,SingleRun,0,24,0.04,0.2,0,67,0,0,0.0,301,357,81,194
74,0,0,74,SingleRun,0,24,0.04,0.2,0,67,0,0,0.0,301,357,81,194
75,0,0,75,SingleRun,0,24,0.04,0.2,0,67,0,0,0.0,301,357,81,194
76,0,0,76,SingleRun,0,24,0.04,0.2,0,67,0,0,0.0,301,357,81,194
77,0,0,77,SingleRun,0,24,0.04,0.2,0,67,0,0,0.0,301,357,81,194
78,0,0,78,SingleRun,0,24,0.04,0.2,0,67,0,0,0.0,301,357,81,194
79,0,0,79,SingleRun,0,24,0.04,0.2,0,67,0,0,0.0,301,357,81,194
80,0,0,80,SingleRun,0,24,0.04,0.2,0,64,3,1,0.0,301,358,81,194
81,0,0,81,SingleRun,0,24,0.04,0.2,0,64,2,0,0.0,301,358,81,194
82,0,0,82,SingleRun,0,24,0.04,0.2,0,64,2,0,0.0,301,358,81,194
