,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,1,1,0,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
1,1,1,1,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
2,1,1,2,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
3,1,1,3,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
4,1,1,4,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
5,1,1,5,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
6,1,1,6,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
7,1,1,7,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
8,1,1,8,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
9,1,1,9,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
10,1,1,10,SingleRun,0,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
11,1,1,11,SingleRun,0,12,0.04,0.2,974,26,0,0,0.0,0,0,0,0
12,1,1,12,SingleRun,0,12,0.04,0.2,955,42,3,0,0.0,0,0,0,0
13,1,1,13,SingleRun,0,12,0.04,0.2,549,442,9,0,0.0,0,0,0,0
14,1,1,14,SingleRun,0,12,0.04,0.2,279,607,114,2,0.0,0,1,1,0
15,1,1,15,SingleRun,0,12,0.04,0.2,189,573,236,2,0.0,0,2,1,1
16,1,1,16,SingleRun,0,12,0.04,0.2,161,555,280,2,0.0,0,4,1,1
17,1,1,17,SingleRun,0,12,0.04,0.2,156,530,308,0,0.0,0,4,1,1
18,1,1,18,SingleRun,0,12,0.04,0.2,154,525,315,2,0.0,1,4,2,1
19,1,1,19,SingleRun,0,12,0.04,0.2,146,517,329,1,0.0,1,4,2,2
20,1,1,20,SingleRun,0,12,0.04,0.2,144,514,333,0,0.0,1,4,2,2
21,1,1,21,SingleRun,0,12,0.04,0.2,133,512,346,1,0.0,2,4,2,2
22,1,1,22,SingleRun,0,12,0.04,0.2,130,507,353,3,0.0,2,6,2,3
23,1,1,23,SingleRun,0,12,0.04,0.2,110,514,363,4,0.0,3,8,2,4
24,1,1,24,SingleRun,0,12,0.04,0.2,103,504,376,2,0.0,4,9,2,4
25,1,1,25,SingleRun,0,12,0.04,0.2,29,478,474,6,0.0,7,11,2,5
26,1,1,26,SingleRun,0,12,0.04,0.2,13,414,548,3,0.0,8,12,3,5
27,1,1,27,SingleRun,0,12,0.04,0.2,12,404,556,4,0.0,9,15,3,5
28,1,1,28,SingleRun,0,12,0.04,0.2,11,397,560,9,0.0,12,19,4,6
29,1,1,29,SingleRun,0,12,0.04,0.2,10,393,556,8,0.0,15,22,4,8
30,1,1,30,SingleRun,0,12,0.04,0.2,10,393,548,10,0.0,17,26,5,11
31,1,1,31,SingleRun,0,12,0.04,0.2,8,391,542,12,0.0,22,32,5,12
32,1,1,32,SingleRun,0,12,0.04,0.2,8,390,531,9,0.0,25,37,5,13
33,1,1,33,SingleRun,0,12,0.04,0.2,8,388,524,10,0.0,26,41,6,17
34,1,1,34,SingleRun,0,12,0.04,0.2,6,367,537,5,0.0,27,41,7,20
35,1,1,35,SingleRun,0,12,0.04,0.2,5,363,537,15,0.0,31,47,8,24
36,1,1,36,SingleRun,0,12,0.04,0.2,4,352,534,8,0.0,32,51,10,25
37,1,1,37,SingleRun,0,12,0.04,0.2,4,340,538,10,0.0,33,56,11,28
38,1,1,38,SingleRun,0,12,0.04,0.2,3,332,537,7,0.0,36,59,12,28
39,1,1,39,SingleRun,0,12,0.04,0.2,3,331,531,10,0.0,39,64,12,30
40,1,1,40,SingleRun,0,12,0.04,0.2,3,330,522,12,0.0,46,68,12,31
41,1,1,41,SingleRun,0,12,0.04,0.2,3,329,511,20,0.0,51,74,15,37
42,1,1,42,SingleRun,0,12,0.04,0.2,3,329,491,23,0.0,54,86,18,42
43,1,1,43,SingleRun,0,12,0.04,0.2,0,275,525,57,0.0,70,107,26,54
44,1,1,44,SingleRun,0,12,0.04,0.2,0,210,533,67,0.0,87,126,33,78
45,1,1,45,SingleRun,0,12,0.04,0.2,0,195,481,77,0.0,106,161,36,98
46,1,1,46,SingleRun,0,12,0.04,0.2,0,177,422,65,0.0,122,192,39,113
47,1,1,47,SingleRun,0,12,0.04,0.2,0,141,393,65,0.0,141,217,44,129
