,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,1,1,0,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
1,1,1,1,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
2,1,1,2,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
3,1,1,3,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
4,1,1,4,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
5,1,1,5,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
6,1,1,6,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
7,1,1,7,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
8,1,1,8,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
9,1,1,9,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
10,1,1,10,SingleRun,0,-6,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
11,1,1,11,SingleRun,0,-6,0.02,0.1,998,2,0,0,0.0,0,0,0,0
12,1,1,12,SingleRun,0,-6,0.02,0.1,998,2,0,0,0.0,0,0,0,0
13,1,1,13,SingleRun,0,-6,0.02,0.1,995,5,0,0,0.0,0,0,0,0
14,1,1,14,SingleRun,0,-6,0.02,0.1,994,6,0,0,0.0,0,0,0,0
15,1,1,15,SingleRun,0,-6,0.02,0.1,992,8,0,0,0.0,0,0,0,0
16,1,1,16,SingleRun,0,-6,0.02,0.1,992,8,0,0,0.0,0,0,0,0
17,1,1,17,SingleRun,0,-6,0.02,0.1,992,8,0,0,0.0,0,0,0,0
18,1,1,18,SingleRun,0,-6,0.02,0.1,992,8,0,0,0.0,0,0,0,0
19,1,1,19,SingleRun,0,-6,0.02,0.1,992,8,0,0,0.0,0,0,0,0
20,1,1,20,SingleRun,0,-6,0.02,0.1,992,8,0,0,0.0,0,0,0,0
21,1,1,21,SingleRun,0,-6,0.02,0.1,992,8,0,0,0.0,0,0,0,0
22,1,1,22,SingleRun,0,-6,0.02,0.1,992,8,0,0,0.0,0,0,0,0
23,1,1,23,SingleRun,0,-6,0.02,0.1,992,8,0,0,0.0,0,0,0,0
24,1,1,24,SingleRun,0,-6,0.02,0.1,991,9,0,0,0.0,0,0,0,0
25,1,1,25,SingleRun,0,-6,0.02,0.1,974,26,0,0,0.0,0,0,0,0
26,1,1,26,SingleRun,0,-6,0.02,0.1,924,74,2,0,0.0,0,0,0,0
27,1,1,27,SingleRun,0,-6,0.02,0.1,903,91,6,0,0.0,0,0,0,0
28,1,1,28,SingleRun,0,-6,0.02,0.1,871,122,7,0,0.0,0,0,0,0
29,1,1,29,SingleRun,0,-6,0.02,0.1,840,151,9,0,0.0,0,0,0,0
30,1,1,30,SingleRun,0,-6,0.02,0.1,829,158,13,0,0.0,0,0,0,0
31,1,1,31,SingleRun,0,-6,0.02,0.1,810,174,16,0,0.0,0,0,0,0
32,1,1,32,SingleRun,0,-6,0.02,0.1,793,190,17,0,0.0,0,0,0,0
33,1,1,33,SingleRun,0,-6,0.02,0.1,782,201,17,0,0.0,0,0,0,0
34,1,1,34,SingleRun,0,-6,0.02,0.1,646,319,35,0,0.0,0,0,0,0
