,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,RA_base,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,6,6,0,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
1,6,6,1,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
2,6,6,2,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
3,6,6,3,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
4,6,6,4,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
5,6,6,5,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
6,6,6,6,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
7,6,6,7,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
8,6,6,8,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
9,6,6,9,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
10,6,6,10,SingleRun,0,0,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
11,6,6,11,SingleRun,0,0,0.04,0.2,0.75,958,42,0,0,0.0,0,0,0,0
12,6,6,12,SingleRun,0,0,0.04,0.2,0.75,937,63,0,0,0.0,0,0,0,0
13,6,6,13,SingleRun,0,0,0.04,0.2,0.75,524,475,1,0,0.0,0,0,0,0
14,6,6,14,SingleRun,0,0,0.04,0.2,0.75,267,713,20,0,0.0,0,0,0,0
15,6,6,15,SingleRun,0,0,0.04,0.2,0.75,169,783,48,0,0.0,0,0,0,0
16,6,6,16,SingleRun,0,0,0.04,0.2,0.75,144,796,60,0,0.0,0,0,0,0
17,6,6,17,SingleRun,0,0,0.04,0.2,0.75,138,799,63,1,0.0,1,0,0,0
18,6,6,18,SingleRun,0,0,0.04,0.2,0.75,135,800,64,2,0.0,1,2,0,0
19,6,6,19,SingleRun,0,0,0.04,0.2,0.75,126,798,73,0,0.0,1,2,0,0
20,6,6,20,SingleRun,0,0,0.04,0.2,0.75,122,799,76,0,0.0,1,2,0,0
21,6,6,21,SingleRun,0,0,0.04,0.2,0.75,121,796,80,0,0.0,1,2,0,0
22,6,6,22,SingleRun,0,0,0.04,0.2,0.75,117,798,82,0,0.0,1,2,0,0
