,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,8,8,0,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
1,8,8,1,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
2,8,8,2,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
3,8,8,3,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
4,8,8,4,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
5,8,8,5,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
6,8,8,6,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
7,8,8,7,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
8,8,8,8,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
9,8,8,9,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
10,8,8,10,SingleRun,12,12,0.02,0.1,1000,0,0,0,0.0,0,0,0,0
11,8,8,11,SingleRun,12,12,0.02,0.1,998,2,0,0,0.0,0,0,0,0
12,8,8,12,SingleRun,12,12,0.02,0.1,998,2,0,0,0.0,0,0,0,0
13,8,8,13,SingleRun,12,12,0.02,0.1,992,8,0,0,0.0,0,0,0,0
14,8,8,14,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
15,8,8,15,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
16,8,8,16,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
17,8,8,17,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
18,8,8,18,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
19,8,8,19,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
20,8,8,20,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
21,8,8,21,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
22,8,8,22,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
23,8,8,23,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
24,8,8,24,SingleRun,12,12,0.02,0.1,991,9,0,0,0.0,0,0,0,0
25,8,8,25,SingleRun,12,12,0.02,0.1,989,11,0,0,0.0,0,0,0,0
26,8,8,26,SingleRun,12,12,0.02,0.1,938,61,1,0,0.0,0,0,0,0
27,8,8,27,SingleRun,12,12,0.02,0.1,913,83,4,0,0.0,0,0,0,0
28,8,8,28,SingleRun,12,12,0.02,0.1,877,117,6,0,0.0,0,0,0,0
29,8,8,29,SingleRun,12,12,0.02,0.1,857,133,10,0,0.0,0,0,0,0
30,8,8,30,SingleRun,12,12,0.02,0.1,844,140,16,0,0.0,0,0,0,0
31,8,8,31,SingleRun,12,12,0.02,0.1,819,163,18,2,0.0,1,1,0,0
32,8,8,32,SingleRun,12,12,0.02,0.1,564,407,27,2,0.0,2,2,0,0
33,8,8,33,SingleRun,12,12,0.02,0.1,406,505,85,9,0.0,5,6,2,0
34,8,8,34,SingleRun,12,12,0.02,0.1,133,629,225,18,0.0,11,14,3,3
35,8,8,35,SingleRun,12,12,0.02,0.1,62,534,373,32,0.0,23,29,6,5
36,8,8,36,SingleRun,12,12,0.02,0.1,29,457,451,45,0.0,36,46,8,18
37,8,8,37,SingleRun,12,12,0.02,0.1,14,420,458,45,0.0,49,61,14,29
38,8,8,38,SingleRun,12,12,0.02,0.1,11,405,431,60,0.0,68,89,18,38
39,8,8,39,SingleRun,12,12,0.02,0.1,10,404,373,35,0.0,79,103,21,45
40,8,8,40,SingleRun,12,12,0.02,0.1,10,403,339,39,0.0,90,121,25,51
41,8,8,41,SingleRun,12,12,0.02,0.1,10,399,304,34,0.0,99,131,31,60
42,8,8,42,SingleRun,12,12,0.02,0.1,10,399,270,38,0.0,108,149,34,68
43,8,8,43,SingleRun,12,12,0.02,0.1,5,354,282,34,0.0,119,162,39,73
44,8,8,44,SingleRun,12,12,0.02,0.1,5,345,257,34,0.0,136,169,42,80
45,8,8,45,SingleRun,12,12,0.02,0.1,4,332,237,34,0.0,149,176,47,89
46,8,8,46,SingleRun,12,12,0.02,0.1,2,322,215,30,0.0,159,184,50,98
