,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,4,4,0,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
1,4,4,1,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
2,4,4,2,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
3,4,4,3,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
4,4,4,4,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
5,4,4,5,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
6,4,4,6,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
7,4,4,7,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
8,4,4,8,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
9,4,4,9,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
10,4,4,10,SingleRun,12,12,0.04,0.2,1000,0,0,0,0.0,0,0,0,0
11,4,4,11,SingleRun,12,12,0.04,0.2,932,68,0,0,0.0,0,0,0,0
12,4,4,12,SingleRun,12,12,0.04,0.2,880,114,6,0,0.0,0,0,0,0
13,4,4,13,SingleRun,12,12,0.04,0.2,397,571,32,0,0.0,0,0,0,0
14,4,4,14,SingleRun,12,12,0.04,0.2,174,669,157,0,0.0,0,0,0,0
15,4,4,15,SingleRun,12,12,0.04,0.2,110,563,327,1,0.0,0,0,1,0
16,4,4,16,SingleRun,12,12,0.04,0.2,96,535,368,2,0.0,0,2,1,0
17,4,4,17,SingleRun,12,12,0.04,0.2,87,530,380,1,0.0,0,2,1,1
18,4,4,18,SingleRun,12,12,0.04,0.2,84,523,389,4,0.0,2,3,2,1
19,4,4,19,SingleRun,12,12,0.04,0.2,80,509,403,1,0.0,3,3,2,1
20,4,4,20,SingleRun,12,12,0.04,0.2,80,508,403,7,0.0,3,8,2,3
