,RunId,iteration,Step,outcome_collection,watch_shift,communication_timing,media_weight_trust,media_weight_perc,RA_base,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,5,5,0,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
1,5,5,1,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
2,5,5,2,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
3,5,5,3,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
4,5,5,4,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
5,5,5,5,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
6,5,5,6,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
7,5,5,7,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
8,5,5,8,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
9,5,5,9,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
10,5,5,10,SingleRun,12,12,0.04,0.2,0.75,1000,0,0,0,0.0,0,0,0,0
11,5,5,11,SingleRun,12,12,0.04,0.2,0.75,958,42,0,0,0.0,0,0,0,0
12,5,5,12,SingleRun,12,12,0.04,0.2,0.75,937,63,0,0,0.0,0,0,0,0
13,5,5,13,SingleRun,12,12,0.04,0.2,0.75,484,516,0,0,0.0,0,0,0,0
14,5,5,14,SingleRun,12,12,0.04,0.2,0.75,233,754,13,0,0.0,0,0,0,0
15,5,5,15,SingleRun,12,12,0.04,0.2,0.75,163,792,45,0,0.0,0,0,0,0
16,5,5,16,SingleRun,12,12,0.04,0.2,0.75,143,807,50,0,0.0,0,0,0,0
17,5,5,17,SingleRun,12,12,0.04,0.2,0.75,133,814,53,0,0.0,0,0,0,0
18,5,5,18,SingleRun,12,12,0.04,0.2,0.75,131,815,54,1,0.0,0,0,1,0
19,5,5,19,SingleRun,12,12,0.04,0.2,0.75,120,813,66,0,0.0,0,0,1,0
20,5,5,20,SingleRun,12,12,0.04,0.2,0.75,119,808,72,0,0.0,0,0,1,0
21,5,5,21,SingleRun,12,12,0.04,0.2,0.75,109,809,81,1,0.0,0,0,1,1
22,5,5,22,SingleRun,12,12,0.04,0.2,0.75,106,805,87,2,0.0,0,1,1,2
23,5,5,23,SingleRun,12,12,0.04,0.2,0.75,95,811,90,0,0.0,0,1,1,2
24,5,5,24,SingleRun,12,12,0.04,0.2,0.75,86,817,93,0,0.0,0,1,1,2
25,5,5,25,SingleRun,12,12,0.04,0.2,0.75,32,810,154,1,0.0,1,1,1,2
26,5,5,26,SingleRun,12,12,0.04,0.2,0.75,11,781,203,4,0.0,2,3,2,2
27,5,5,27,SingleRun,12,12,0.04,0.2,0.75,11,770,210,3,0.0,3,4,3,2
28,5,5,28,SingleRun,12,12,0.04,0.2,0.75,8,769,211,3,0.0,4,6,3,2
29,5,5,29,SingleRun,12,12,0.04,0.2,0.75,8,768,209,2,0.0,4,8,3,2
30,5,5,30,SingleRun,12,12,0.04,0.2,0.75,8,768,207,0,0.0,4,8,3,2
31,5,5,31,SingleRun,12,12,0.04,0.2,0.75,8,766,209,16,0.0,10,15,4,4
32,5,5,32,SingleRun,12,12,0.04,0.2,0.75,2,754,211,20,0.0,18,23,7,5
33,5,5,33,SingleRun,12,12,0.04,0.2,0.75,2,743,202,23,0.0,24,32,9,11
34,5,5,34,SingleRun,12,12,0.04,0.2,0.75,1,689,234,31,0.0,32,46,12,17
35,5,5,35,SingleRun,12,12,0.04,0.2,0.75,0,671,222,21,0.0,37,56,13,22
36,5,5,36,SingleRun,12,12,0.04,0.2,0.75,0,638,234,27,0.0,46,68,14,27
37,5,5,37,SingleRun,12,12,0.04,0.2,0.75,0,621,224,32,0.0,58,79,17,33
38,5,5,38,SingleRun,12,12,0.04,0.2,0.75,0,617,196,10,0.0,60,83,17,37
39,5,5,39,SingleRun,12,12,0.04,0.2,0.75,0,617,186,18,0.0,65,91,17,42
40,5,5,40,SingleRun,12,12,0.04,0.2,0.75,0,616,169,16,0.0,68,100,17,46
41,5,5,41,SingleRun,12,12,0.04,0.2,0.75,0,616,153,13,0.0,71,105,17,51
42,5,5,42,SingleRun,12,12,0.04,0.2,0.75,0,616,140,16,0.0,74,114,19,53
43,5,5,43,SingleRun,12,12,0.04,0.2,0.75,0,592,148,23,0.0,81,126,21,55
44,5,5,44,SingleRun,12,12,0.04,0.2,0.75,0,586,131,22,0.0,87,131,25,62
45,5,5,45,SingleRun,12,12,0.04,0.2,0.75,0,572,123,14,0.0,93,137,26,63
46,5,5,46,SingleRun,12,12,0.04,0.2,0.75,0,567,114,13,0.0,96,143,26,67
47,5,5,47,SingleRun,12,12,0.04,0.2,0.75,0,539,129,19,0.0,101,152,26,72
48,5,5,48,SingleRun,12,12,0.04,0.2,0.75,0,529,120,23,0.0,105,164,29,76
49,5,5,49,SingleRun,12,12,0.04,0.2,0.75,0,376,250,42,0.0,117,184,31,84
50,5,5,50,SingleRun,12,12,0.04,0.2,0.75,0,370,214,39,0.0,125,199,35,96
51,5,5,51,SingleRun,12,12,0.04,0.2,0.75,0,369,176,36,0.0,138,208,41,104
52,5,5,52,SingleRun,12,12,0.04,0.2,0.75,0,369,140,30,0.0,144,220,45,112
53,5,5,53,SingleRun,12,12,0.04,0.2,0.75,0,369,110,29,0.0,158,225,45,122
54,5,5,54,SingleRun,12,12,0.04,0.2,0.75,0,369,81,23,0.0,168,233,45,127
55,5,5,55,SingleRun,12,12,0.04,0.2,0.75,0,369,58,10,0.0,172,237,46,128
56,5,5,56,SingleRun,12,12,0.04,0.2,0.75,0,369,48,12,0.0,176,241,47,131
57,5,5,57,SingleRun,12,12,0.04,0.2,0.75,0,369,36,10,0.0,178,246,48,133
58,5,5,58,SingleRun,12,12,0.04,0.2,0.75,0,369,26,2,0.0,179,246,48,134
59,5,5,59,SingleRun,12,12,0.04,0.2,0.75,0,369,24,4,0.0,180,248,48,135
60,5,5,60,SingleRun,12,12,0.04,0.2,0.75,0,368,21,3,0.0,182,248,48,136
61,5,5,61,SingleRun,12,12,0.04,0.2,0.75,0,368,18,4,0.0,182,249,48,139
62,5,5,62,SingleRun,12,12,0.04,0.2,0.75,0,368,14,1,0.0,183,249,48,139
