,RunId,iteration,Step,outcome_collection,RA_base,ceiling,grow_factor,media_weight_trust,media_weight_perc,phase_change_factor,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
47,2,2,47,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,628,287,3,0.0,27,40,7,12
48,2,2,48,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,614,299,9,0.0,30,45,7,13
49,2,2,49,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,595,309,9,0.0,34,47,8,15
50,2,2,50,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,593,302,11,0.0,35,53,8,19
51,2,2,51,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,593,291,9,0.0,37,58,9,20
52,2,2,52,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,593,282,12,0.0,40,62,10,24
53,2,2,53,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,593,270,11,0.0,44,65,12,26
54,2,2,54,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,593,259,17,0.0,50,71,14,29
55,2,2,55,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1,587,248,17,0.0,55,77,16,33
56,2,2,56,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,565,254,38,0.0,65,94,19,41
57,2,2,57,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,554,227,25,0.0,72,107,21,44
58,2,2,58,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,523,233,43,0.0,85,123,22,57
59,2,2,59,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,518,195,19,0.0,92,130,22,62
60,2,2,60,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,513,181,26,0.0,98,141,24,69
61,2,2,61,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,414,254,58,0.0,119,166,29,76
62,2,2,62,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,406,204,41,0.0,127,183,33,88
63,2,2,63,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,165,42,0.0,141,200,36,96
64,2,2,64,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,123,27,0.0,146,215,38,101
65,2,2,65,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,96,22,0.0,153,221,41,107
66,2,2,66,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,74,12,0.0,155,228,41,110
67,2,2,67,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,62,13,0.0,158,234,42,113
68,2,2,68,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,49,5,0.0,161,235,42,114
69,2,2,69,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,44,11,0.0,163,241,44,115
70,2,2,70,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,33,6,0.0,165,244,45,115
71,2,2,71,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,27,6,0.0,166,246,45,118
72,2,2,72,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,21,4,0.0,169,247,45,118
73,2,2,73,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,17,2,0.0,170,248,45,118
74,2,2,74,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,15,2,0.0,172,248,45,118
75,2,2,75,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,13,2,0.0,173,249,45,118
76,2,2,76,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,404,11,3,0.0,173,251,46,118
77,2,2,77,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,402,10,2,0.0,173,253,46,118
78,2,2,78,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,402,8,3,0.0,175,254,46,118
79,2,2,79,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,392,15,3,0.0,176,255,46,119
80,2,2,80,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,345,59,24,0.0,180,262,49,129
81,2,2,81,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,337,43,16,0.0,183,267,51,135
82,2,2,82,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,337,27,9,0.0,185,268,52,140
83,2,2,83,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,337,18,13,0.0,189,272,53,144
84,2,2,84,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,330,12,7,0.0,190,277,53,145
85,2,2,85,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,330,5,2,0.0,191,277,54,145
86,2,2,86,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,330,3,3,0.0,192,279,54,145
87,2,2,87,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,330,0,0,60.67910447761194,192,279,54,145
88,3,3,0,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
89,3,3,1,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
90,3,3,2,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
91,3,3,3,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
92,3,3,4,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
93,3,3,5,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
94,3,3,6,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
95,3,3,7,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
96,3,3,8,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
97,3,3,9,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
98,3,3,10,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
99,3,3,11,SingleRun,0.75,0.4,30,0.04,0.2,0.1,956,44,0,0,0.0,0,0,0,0
100,3,3,12,SingleRun,0.75,0.4,30,0.04,0.2,0.1,925,75,0,0,0.0,0,0,0,0
101,3,3,13,SingleRun,0.75,0.4,30,0.04,0.2,0.1,496,502,2,0,0.0,0,0,0,0
102,3,3,14,SingleRun,0.75,0.4,30,0.04,0.2,0.1,234,753,13,0,0.0,0,0,0,0
103,3,3,15,SingleRun,0.75,0.4,30,0.04,0.2,0.1,157,792,51,0,0.0,0,0,0,0
104,3,3,16,SingleRun,0.75,0.4,30,0.04,0.2,0.1,147,791,62,0,0.0,0,0,0,0
105,3,3,17,SingleRun,0.75,0.4,30,0.04,0.2,0.1,143,793,64,0,0.0,0,0,0,0
106,3,3,18,SingleRun,0.75,0.4,30,0.04,0.2,0.1,141,792,67,0,0.0,0,0,0,0
107,3,3,19,SingleRun,0.75,0.4,30,0.04,0.2,0.1,135,789,76,0,0.0,0,0,0,0
108,3,3,20,SingleRun,0.75,0.4,30,0.04,0.2,0.1,135,788,77,0,0.0,0,0,0,0
109,3,3,21,SingleRun,0.75,0.4,30,0.04,0.2,0.1,130,789,81,0,0.0,0,0,0,0
110,3,3,22,SingleRun,0.75,0.4,30,0.04,0.2,0.1,129,788,83,1,0.0,0,1,0,0
111,3,3,23,SingleRun,0.75,0.4,30,0.04,0.2,0.1,112,802,85,1,0.0,1,1,0,0
112,3,3,24,SingleRun,0.75,0.4,30,0.04,0.2,0.1,109,800,89,0,0.0,1,1,0,0
113,3,3,25,SingleRun,0.75,0.4,30,0.04,0.2,0.1,26,830,142,3,0.0,2,2,0,1
114,3,3,26,SingleRun,0.75,0.4,30,0.04,0.2,0.1,10,786,199,2,0.0,3,3,0,1
115,3,3,27,SingleRun,0.75,0.4,30,0.04,0.2,0.1,7,779,207,2,0.0,4,3,1,1
116,3,3,28,SingleRun,0.75,0.4,30,0.04,0.2,0.1,5,779,207,1,0.0,5,3,1,1
117,3,3,29,SingleRun,0.75,0.4,30,0.04,0.2,0.1,5,777,208,1,0.0,5,4,1,1
118,3,3,30,SingleRun,0.75,0.4,30,0.04,0.2,0.1,5,777,207,1,0.0,5,4,2,1
119,3,3,31,SingleRun,0.75,0.4,30,0.04,0.2,0.1,5,774,209,2,0.0,5,6,2,1
120,3,3,32,SingleRun,0.75,0.4,30,0.04,0.2,0.1,5,774,207,1,0.0,5,7,2,1
121,3,3,33,SingleRun,0.75,0.4,30,0.04,0.2,0.1,5,773,207,3,0.0,5,9,2,2
122,3,3,34,SingleRun,0.75,0.4,30,0.04,0.2,0.1,4,758,220,4,0.0,7,10,2,3
123,3,3,35,SingleRun,0.75,0.4,30,0.04,0.2,0.1,4,753,221,2,0.0,9,10,2,3
124,3,3,36,SingleRun,0.75,0.4,30,0.04,0.2,0.1,3,740,233,3,0.0,10,12,2,3
125,3,3,37,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,725,246,1,0.0,10,13,2,3
126,3,3,38,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,723,247,4,0.0,10,16,2,4
127,3,3,39,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,723,243,2,0.0,10,16,2,6
128,3,3,40,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,723,241,5,0.0,14,17,2,6
129,3,3,41,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,723,236,3,0.0,16,18,2,6
130,3,3,42,SingleRun,0.75,0.4,30,0.04,0.2,0.1,2,723,233,4,0.0,18,19,2,7
131,3,3,43,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,702,252,3,0.0,20,20,2,7
132,3,3,44,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,697,254,9,0.0,24,24,3,7
133,3,3,45,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,685,257,8,0.0,28,25,4,9
134,3,3,46,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,670,264,5,0.0,30,27,4,10
135,3,3,47,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,623,306,7,0.0,33,30,5,10
136,3,3,48,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,611,311,6,0.0,34,34,6,10
137,3,3,49,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,595,321,8,0.0,35,40,6,11
138,3,3,50,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,595,313,12,0.0,38,45,7,14
139,3,3,51,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,595,301,10,0.0,41,49,7,17
140,3,3,52,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,595,291,5,0.0,42,51,8,18
141,3,3,53,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,595,286,12,0.0,44,56,8,23
142,3,3,54,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,595,274,20,0.0,52,65,8,26
143,3,3,55,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,592,257,32,0.0,61,82,9,31
144,3,3,56,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,566,251,26,0.0,64,95,11,39
145,3,3,57,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,561,230,33,0.0,73,111,13,45
146,3,3,58,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,519,239,28,0.0,80,124,16,50
147,3,3,59,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,518,212,35,0.0,92,141,18,54
148,3,3,60,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,518,177,36,0.0,100,159,18,64
149,3,3,61,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,409,250,59,0.0,118,182,20,80
150,3,3,62,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,394,206,41,0.0,129,198,23,91
151,3,3,63,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,393,166,28,0.0,138,206,26,99
152,3,3,64,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,392,139,20,0.0,144,213,28,104
153,3,3,65,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,392,119,30,0.0,148,226,31,114
154,3,3,66,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,392,89,14,0.0,150,234,33,116
155,3,3,67,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,392,75,18,0.0,153,243,33,122
156,3,3,68,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,390,59,15,0.0,159,247,36,124
157,3,3,69,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,390,44,10,0.0,161,252,36,127
158,3,3,70,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,390,34,7,0.0,163,256,36,128
159,3,3,71,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,390,27,6,0.0,165,258,37,129
160,3,3,72,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,390,21,2,0.0,165,259,38,129
161,3,3,73,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,390,19,4,0.0,165,262,39,129
162,3,3,74,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,390,15,2,0.0,166,262,40,129
163,3,3,75,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,389,14,7,0.0,167,267,40,130
164,3,3,76,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,389,7,2,0.0,167,268,41,130
165,3,3,77,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,381,13,3,0.0,168,270,41,130
166,3,3,78,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,381,10,2,0.0,168,271,41,131
167,3,3,79,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,371,18,5,0.0,170,271,41,134
168,3,3,80,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,332,52,17,0.0,173,279,42,139
169,3,3,81,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,331,36,11,0.0,175,285,42,142
170,3,3,82,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,331,25,12,0.0,181,289,42,144
171,3,3,83,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,331,13,5,0.0,186,289,42,144
172,3,3,84,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,329,10,6,0.0,188,292,42,145
173,3,3,85,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,329,4,2,0.0,188,293,42,146
174,3,3,86,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,329,2,1,0.0,188,293,42,147
175,3,3,87,SingleRun,0.75,0.4,30,0.04,0.2,0.1,0,329,1,1,60.81791044776119,188,293,42,148
176,11,11,0,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
177,11,11,1,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
178,11,11,2,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
179,11,11,3,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
180,11,11,4,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
181,11,11,5,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
182,11,11,6,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
183,11,11,7,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
184,11,11,8,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
185,11,11,9,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
186,11,11,10,SingleRun,0.75,0.4,30,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
187,11,11,11,SingleRun,0.75,0.4,30,0.04,0.2,0.1,958,42,0,0,0.0,0,0,0,0
188,11,11,12,SingleRun,0.75,0.4,30,0.04,0.2,0.1,931,69,0,0,0.0,0,0,0,0
189,11,11,13,SingleRun,0.75,0.4,30,0.04,0.2,0.1,542,455,3,0,0.0,0,0,0,0
190,11,11,14,SingleRun,0.75,0.4,30,0.04,0.2,0.1,301,684,15,0,0.0,0,0,0,0
191,11,11,15,SingleRun,0.75,0.4,30,0.04,0.2,0.1,217,736,47,0,0.0,0,0,0,0
192,11,11,16,SingleRun,0.75,0.4,30,0.04,0.2,0.1,193,751,56,0,0.0,0,0,0,0
193,11,11,17,SingleRun,0.75,0.4,30,0.04,0.2,0.1,184,752,64,0,0.0,0,0,0,0
194,11,11,18,SingleRun,0.75,0.4,30,0.04,0.2,0.1,178,754,68,1,0.0,0,1,0,0
195,11,11,19,SingleRun,0.75,0.4,30,0.04,0.2,0.1,165,759,75,0,0.0,0,1,0,0
196,11,11,20,SingleRun,0.75,0.4,30,0.04,0.2,0.1,160,764,75,1,0.0,1,1,0,0
197,11,11,21,SingleRun,0.75,0.4,30,0.04,0.2,0.1,149,768,81,0,0.0,1,1,0,0
198,11,11,22,SingleRun,0.75,0.4,30,0.04,0.2,0.1,146,769,83,0,0.0,1,1,0,0
199,11,11,23,SingleRun,0.75,0.4,30,0.04,0.2,0.1,134,779,85,0,0.0,1,1,0,0
200,11,11,24,SingleRun,0.75,0.4,30,0.04,0.2,0.1,124,784,90,0,0.0,1,1,0,0
201,11,11,25,SingleRun,0.75,0.4,30,0.04,0.2,0.1,43,811,144,0,0.0,1,1,0,0
202,11,11,26,SingleRun,0.75,0.4,30,0.04,0.2,0.1,20,803,175,1,0.0,2,1,0,0
203,11,11,27,SingleRun,0.75,0.4,30,0.04,0.2,0.1,19,800,178,3,0.0,3,2,1,0
204,11,11,28,SingleRun,0.75,0.4,30,0.04,0.2,0.1,16,798,180,0,0.0,3,2,1,0
205,11,11,29,SingleRun,0.75,0.4,30,0.04,0.2,0.1,15,797,182,1,0.0,4,2,1,0
206,11,11,30,SingleRun,0.75,0.4,30,0.04,0.2,0.1,15,796,182,3,0.0,6,3,1,0
207,11,11,31,SingleRun,0.75,0.4,30,0.04,0.2,0.1,11,797,182,3,0.0,7,4,2,0
208,11,11,32,SingleRun,0.75,0.4,30,0.04,0.2,0.1,11,797,179,3,0.0,8,6,2,0
209,11,11,33,SingleRun,0.75,0.4,30,0.04,0.2,0.1,11,795,178,0,0.0,8,6,2,0
