,RunId,iteration,Step,outcome_collection,ceiling,grow_factor,media_weight_trust,media_weight_perc,phase_change_factor,phase_0,phase_1,phase_2,evac_agents,average_evac_time,hotel_choice,friends_choice,shelter_choice,stay_choice
0,11,11,0,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
1,11,11,1,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
2,11,11,2,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
3,11,11,3,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
4,11,11,4,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
5,11,11,5,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
6,11,11,6,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
7,11,11,7,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
8,11,11,8,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
9,11,11,9,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
10,11,11,10,SingleRun,0.2,60,0.04,0.2,0.1,1000,0,0,0,0.0,0,0,0,0
11,11,11,11,SingleRun,0.2,60,0.04,0.2,0.1,965,35,0,0,0.0,0,0,0,0
12,11,11,12,SingleRun,0.2,60,0.04,0.2,0.1,943,55,2,0,0.0,0,0,0,0
13,11,11,13,SingleRun,0.2,60,0.04,0.2,0.1,537,456,7,0,0.0,0,0,0,0
14,11,11,14,SingleRun,0.2,60,0.04,0.2,0.1,319,585,96,0,0.0,0,0,0,0
15,11,11,15,SingleRun,0.2,60,0.04,0.2,0.1,241,546,213,1,0.0,0,0,0,1
16,11,11,16,SingleRun,0.2,60,0.04,0.2,0.1,220,533,246,0,0.0,0,0,0,1
17,11,11,17,SingleRun,0.2,60,0.04,0.2,0.1,210,528,261,1,0.0,1,0,0,1
18,11,11,18,SingleRun,0.2,60,0.04,0.2,0.1,204,526,268,0,0.0,1,0,0,1
19,11,11,19,SingleRun,0.2,60,0.04,0.2,0.1,201,518,279,1,0.0,2,0,0,1
20,11,11,20,SingleRun,0.2,60,0.04,0.2,0.1,196,518,283,1,0.0,2,1,0,1
21,11,11,21,SingleRun,0.2,60,0.04,0.2,0.1,183,516,297,0,0.0,2,1,0,1
22,11,11,22,SingleRun,0.2,60,0.04,0.2,0.1,173,516,307,0,0.0,2,1,0,1
23,11,11,23,SingleRun,0.2,60,0.04,0.2,0.1,150,522,324,0,0.0,2,1,0,1
24,11,11,24,SingleRun,0.2,60,0.04,0.2,0.1,131,516,349,0,0.0,2,1,0,1
25,11,11,25,SingleRun,0.2,60,0.04,0.2,0.1,30,509,457,2,0.0,2,2,0,2
26,11,11,26,SingleRun,0.2,60,0.04,0.2,0.1,12,421,561,1,0.0,2,3,0,2
27,11,11,27,SingleRun,0.2,60,0.04,0.2,0.1,10,405,578,1,0.0,2,3,0,3
28,11,11,28,SingleRun,0.2,60,0.04,0.2,0.1,8,397,587,2,0.0,2,5,0,3
29,11,11,29,SingleRun,0.2,60,0.04,0.2,0.1,8,392,590,3,0.0,4,5,0,4
30,11,11,30,SingleRun,0.2,60,0.04,0.2,0.1,8,391,588,0,0.0,4,5,0,4
31,11,11,31,SingleRun,0.2,60,0.04,0.2,0.1,6,390,591,2,0.0,4,7,0,4
32,11,11,32,SingleRun,0.2,60,0.04,0.2,0.1,6,390,589,2,0.0,6,7,0,4
33,11,11,33,SingleRun,0.2,60,0.04,0.2,0.1,6,385,592,1,0.0,6,8,0,4
34,11,11,34,SingleRun,0.2,60,0.04,0.2,0.1,6,369,607,2,0.0,6,9,1,4
35,11,11,35,SingleRun,0.2,60,0.04,0.2,0.1,6,368,606,4,0.0,7,11,1,5
36,11,11,36,SingleRun,0.2,60,0.04,0.2,0.1,5,352,619,2,0.0,7,13,1,5
37,11,11,37,SingleRun,0.2,60,0.04,0.2,0.1,0,344,630,2,0.0,8,14,1,5
38,11,11,38,SingleRun,0.2,60,0.04,0.2,0.1,0,341,631,1,0.0,9,14,1,5
39,11,11,39,SingleRun,0.2,60,0.04,0.2,0.1,0,339,632,6,0.0,11,15,1,8
40,11,11,40,SingleRun,0.2,60,0.04,0.2,0.1,0,339,626,6,0.0,12,17,2,10
41,11,11,41,SingleRun,0.2,60,0.04,0.2,0.1,0,338,621,2,0.0,13,18,2,10
42,11,11,42,SingleRun,0.2,60,0.04,0.2,0.1,0,338,619,5,0.0,14,21,2,11
43,11,11,43,SingleRun,0.2,60,0.04,0.2,0.1,0,315,637,9,0.0,18,25,3,11
44,11,11,44,SingleRun,0.2,60,0.04,0.2,0.1,0,315,628,1,0.0,18,25,3,12
45,11,11,45,SingleRun,0.2,60,0.04,0.2,0.1,0,307,635,4,0.0,18,28,3,13
46,11,11,46,SingleRun,0.2,60,0.04,0.2,0.1,0,294,644,13,0.0,20,37,3,15
47,11,11,47,SingleRun,0.2,60,0.04,0.2,0.1,0,260,665,10,0.0,22,42,4,17
48,11,11,48,SingleRun,0.2,60,0.04,0.2,0.1,0,249,666,9,0.0,25,44,5,20
49,11,11,49,SingleRun,0.2,60,0.04,0.2,0.1,0,236,670,12,0.0,30,49,5,22
50,11,11,50,SingleRun,0.2,60,0.04,0.2,0.1,0,234,660,8,0.0,33,49,6,26
51,11,11,51,SingleRun,0.2,60,0.04,0.2,0.1,0,234,652,9,0.0,36,51,6,30
52,11,11,52,SingleRun,0.2,60,0.04,0.2,0.1,0,234,643,10,0.0,39,55,6,33
53,11,11,53,SingleRun,0.2,60,0.04,0.2,0.1,0,234,633,24,0.0,47,61,9,40
