,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,MD9,MD10
428,100,2,100,2,100,0.0,1.0,0.0,1.0,0.0
429,2,100,2,6,12,0.75,0.5,0.75,0.75,1.0
430,3,2,2,2,12,1.0,1.0,1.0,1.0,0.75
431,3,6,12,2,3,0.75,1.0,0.75,1.0,0.75
432,6,2,2,2,100,0.5,1.0,1.0,1.0,0.0
433,2,3,2,2,100,0.75,1.0,1.0,1.0,0.75
434,6,3,2,2,12,0.75,0.75,0.75,0.75,0.75
435,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
436,2,3,2,6,6,0.75,1.0,1.0,0.75,0.5
437,2,2,2,6,2,1.0,0.25,0.75,1.0,1.0
438,2,3,2,3,2,1.0,0.75,1.0,0.75,0.5
439,12,6,6,2,12,0.25,0.75,0.5,1.0,0.75
440,100,2,2,2,100,0.5,0.5,0.5,0.5,0.25
441,2,6,2,6,12,0.75,1.0,0.75,1.0,1.0
442,6,6,3,3,100,0.25,0.25,0.5,0.75,0.5
443,3,100,6,6,12,0.75,1.0,0.75,0.75,1.0
444,2,2,2,2,2,1.0,1.0,1.0,1.0,1.0
445,2,100,2,2,100,1.0,1.0,1.0,1.0,1.0
446,6,100,2,6,100,0.5,0.0,0.75,0.5,0.5
447,100,100,2,2,100,0.25,0.5,0.5,0.75,0.75
448,2,6,2,2,2,0.5,0.75,0.5,1.0,0.25
449,2,6,2,12,100,0.5,0.5,0.75,0.75,0.0
450,3,2,3,2,3,0.5,1.0,0.75,1.0,0.75
451,2,12,3,2,3,1.0,0.75,1.0,0.75,1.0
452,2,2,2,2,100,0.75,0.75,0.75,0.75,0.0
453,100,2,2,2,100,0.25,0.75,0.75,1.0,0.5
