,RA,EI,ECB
0,0.1782690855830013,0.5000000000000001,0.3062271072528719
1,0.4825804223802591,1.0,0.9999999999999999
2,9.71445146547012e-17,0.6444432725440663,0.849348073205549
3,0.28540851377239695,0.5048168677253491,0.6937728927471278
4,0.6467355562198429,0.9502364257119515,0.905575180458421
5,-0.732728942694839,1.0,0.9999999999999999
6,0.5000000000000003,0.75,0.5381977122887067
7,0.7435691670524115,0.9005034340186333,0.943772892747128
8,0.2622098845501224,0.9005034340186333,0.7499999999999999
9,0.6706209183193429,0.8173980184147619,0.6888496390831577
10,-0.7075977015618038,0.7768273873284592,0.8062271072528719
11,0.7506829273153254,0.8494965659813668,0.9999999999999999
12,-0.4799934278716388,1.0,0.19377289274712806
13,9.71445146547012e-17,0.816154724665544,0.6937728927471278
15,0.15384931648275688,0.5098461137954013,0.6375457854942559
16,0.07363498161029394,0.6886621430598051,0.7499999999999999
17,-0.13642973886301546,0.26573797978383973,0.5944248195415788
18,9.71445146547012e-17,0.5000000000000001,0.0
19,-0.2806982761713526,0.9605979972096103,0.8444248195415787
20,0.2801638691706082,0.8671310101080802,0.2881977122887067
21,-0.3166697416619603,0.7062965871865184,0.3875457854942559
22,-0.25901782745620866,0.8611014312282435,0.5381977122887067
23,0.5108402243575723,0.9386621430598051,0.9999999999999999
24,0.5597933313404715,1.0,0.9006519267944507
26,0.5000000000000003,1.0,0.18884963908315755
27,-0.47802251065569523,0.75,0.7499999999999999
28,0.5000000000000003,0.4502364257119515,0.49999999999999994
29,-0.3603782040430708,0.3451951559582751,0.25
30,-0.0165881299898355,0.7663911503774954,0.943772892747128
31,0.5544598571118384,0.8331054156038714,0.943772892747128
33,0.7377901154498782,0.9605979972096103,0.5763954245774137
34,0.8237835019248745,0.904804844041725,0.943772892747128
35,-1.0,1.0,0.8875457854942558
36,1.0,1.0,0.9999999999999999
38,-0.250682927315325,0.8070364469171032,0.8444248195415787
39,0.7609887446721525,0.9005034340186333,0.6506519267944507
40,-0.35954675641316547,0.8611014312282435,0.9999999999999999
41,-0.1335457037252346,0.8040649843111403,0.793120965952677
42,0.7693236448130361,0.8434669871015301,0.905575180458421
44,-0.41605920103287874,1.0,0.4950767463360296
45,-0.7390112553278476,0.7893714201956596,0.5381977122887067
47,0.7480959328067052,0.904804844041725,0.905575180458421
49,-0.16468954084032855,0.90653301289847,0.49999999999999994
50,9.71445146547012e-17,0.5055447037723095,0.6937728927471278
52,0.6641551338395845,0.33740682562696317,0.943772892747128
53,0.3532644437801573,0.9502364257119515,0.8444248195415787
54,-0.5000000000000001,0.8817939916288305,0.905575180458421
56,0.34417976630129976,0.6038285585991887,0.7499999999999999
57,0.3532644437801573,0.6067694386104215,0.5562271072528719
58,-0.5000000000000001,0.75,0.5993480732055491
60,0.5174195776197413,0.6323535321896627,0.8444248195415787
61,-1.0,1.0,0.6375457854942559
62,0.4263650183897064,0.811337856940195,0.3875457854942559
63,0.24931707268467507,0.6802276184997502,0.5944248195415788
64,-1.0,1.0,0.9999999999999999
65,-1.0,0.8336208733061286,0.9999999999999999
66,-0.003090255539094644,0.7572422900343245,0.9999999999999999
67,-0.5000000000000001,0.9004728514239031,0.48689385869980506
68,0.0206933050055864,0.7226877375640138,0.8313186782413838
69,0.830065814557883,0.9605979972096103,0.943772892747128
71,0.1873537630618588,0.6668945843961286,0.543120965952677
72,0.2065288875603144,0.9502364257119515,0.6937728927471278
73,0.3346237262824464,0.65653301289847,0.6375457854942559
75,-1.0,1.0,0.25
76,-0.009084677478857384,0.75,0.581318678241384
77,-0.4747487832698499,0.9605979972096103,0.7750915709885119
78,0.2627442915508671,0.8234275972945986,0.19377289274712806
79,0.48588604825658316,0.6050412697536764,0.7499999999999999
80,0.6570413735766705,0.8494965659813668,0.905575180458421
82,-1.0,1.0,0.9999999999999999
83,0.5736349816102941,1.0,0.655575180458421
85,-0.06279475725272168,0.6273242861196102,0.49999999999999994
87,0.4268994253904511,0.5557931531678851,0.3875457854942559
88,0.4268994253904511,0.75,0.6937728927471278
89,0.5000000000000003,1.0,0.9999999999999999
90,0.43925783025515375,0.7833724239105531,0.443772892747128
91,0.10311592346557685,0.4168945843961286,0.7881977122887067
92,0.8353104591596715,0.8828689898919199,0.8062271072528719
93,0.5052446446017891,0.7992481165857913,0.5944248195415788
94,0.4268994253904511,0.8507092771358546,0.2881977122887067
95,0.3532644437801573,0.6608344229215617,0.15065192679445072
96,-0.3300658145578824,0.8173674358200317,0.4819706050358348
97,9.71445146547012e-17,0.678468867048275,0.7499999999999999
98,-0.8340893192817014,0.8992601402694154,0.9999999999999999
99,9.71445146547012e-17,1.0,0.7881977122887067
100,0.01084022435757212,1.0,0.6937728927471278
102,-0.22543171058517508,1.0,0.849348073205549
103,0.7430347600516667,0.9168945843961287,0.7549232536639702
104,0.34242421942258533,0.9005034340186333,0.09934807320554917
105,0.353798850780902,0.6886621430598051,0.7499999999999999
106,-0.2564308329475886,0.811337856940195,0.3875457854942559
107,-0.8424242194225853,1.0,0.9999999999999999
108,-0.17043744647259218,0.9005034340186333,0.5381977122887067
109,-0.0597045017136269,1.0,0.4819706050358348
110,0.3250046418028442,0.6886621430598051,0.2881977122887067
111,0.5237330362230196,0.9005034340186333,0.3444248195415789
113,0.5000000000000003,0.6711959944192204,0.7499999999999999
114,-0.3530270774085734,0.9005034340186333,0.3826225318302856
116,-1.0,0.8423919888384408,0.9999999999999999
117,0.6782690855830013,0.7555447037723098,0.8444248195415787
118,0.7506829273153254,0.7894020027903899,0.6937728927471278
119,-0.5000000000000001,0.9562965871865186,0.7319706050358348
120,0.2698580518137809,0.8391655770784383,0.7499999999999999
123,0.3346237262824464,0.75,0.3444248195415789
124,-0.0032737273858450266,0.6171310101080801,0.543120965952677
125,-0.3050797399664144,0.8944432725440664,0.49999999999999994
128,0.9089454407699652,0.9605979972096103,0.9999999999999999
129,0.7519040671932951,0.8507398597305847,0.9999999999999999
132,-0.09227569910800462,0.8550412697536766,0.5944248195415788
133,-0.7622098845501224,0.7942188705157388,0.943772892747128
134,0.7430347600516667,0.8391349944837082,0.849348073205549
135,0.6878881700626036,0.8494965659813668,0.9999999999999999
136,0.1885749029398286,1.0,0.9999999999999999
137,0.7513696601925506,1.0,0.9999999999999999
138,-0.2390112553278475,0.6668945843961286,0.7881977122887067
140,-0.26878923781229125,0.7282324413363236,0.8875457854942558
141,0.11547432833027949,1.0,0.7499999999999999
142,0.4733214229905665,0.8386501193761812,0.905575180458421
143,0.8409060389154549,0.9502364257119515,0.9999999999999999
144,1.0,1.0,0.9999999999999999
145,0.5000000000000003,0.75,0.7319706050358348
146,9.71445146547012e-17,0.9442068468321149,0.7499999999999999
148,-0.23779011544987766,0.7997329916933184,0.25
149,0.6467355562198429,0.6347960368295237,0.5993480732055491
151,0.09454365695310937,0.8173674358200317,0.6937728927471278
152,0.5839407989671214,1.0,0.6506519267944507
155,9.71445146547012e-17,0.7002364257119515,0.3493480732055491
156,0.38771772876363436,1.0,0.6937728927471278
157,9.71445146547012e-17,1.0,0.6937728927471278
158,0.09105455923003507,0.8568000212051516,0.443772892747128
159,-0.015366990111865625,0.3944432725440663,0.6937728927471278
161,-0.22087379886061137,0.7894020027903899,0.793120965952677
162,-0.3920291241806986,1.0,0.6375457854942559
165,-0.33128695443585227,0.5335407193966819,0.293120965952677
166,-0.7390112553278476,0.7943871660018674,0.6937728927471278
168,-0.20953031347256462,0.871432420131172,0.293120965952677
169,0.3229520542949689,0.7876738339336449,0.6937728927471278
171,0.25818637982630344,0.6384136936642296,0.3444248195415789
172,-0.5000000000000001,0.811337856940195,0.6937728927471278
173,0.1891093099405733,0.9168945843961287,0.5381977122887067
174,9.71445146547012e-17,0.5000000000000001,0.49999999999999994
175,-0.03453495527540856,1.0,0.5895015658776085
176,0.35273003677941267,0.8774925816057388,0.4819706050358348
177,-0.5000000000000001,0.7937034128134817,0.6937728927471278
178,-0.24985147968541954,0.9442068468321149,0.443772892747128
179,0.9160592010328792,0.6067694386104215,0.849348073205549
180,0.34037163191471,0.5557931531678851,0.5993480732055491
181,0.18591725284665983,0.9605979972096103,0.655575180458421
182,0.04061820684201585,0.777996015624372,0.7499999999999999
183,-0.335844866160416,1.0,0.6937728927471278
184,-0.06735266897728542,0.7888865450881327,0.6986961464110981
185,-0.09752034370979343,1.0,0.4819706050358348
186,1.0,0.8884136936642296,0.9999999999999999
187,0.3140827471533406,1.0,0.49999999999999994
188,0.4372052427472784,1.0,0.6326225318302856
190,0.16537627371755398,0.9442068468321149,0.5131061413001947
192,0.1711553253200875,0.8828689898919199,0.5944248195415788
193,0.08477224659702676,0.5502484493955756,0.6937728927471278
194,-0.343379464641664,0.9004728514239031,0.18884963908315755
195,1.0,0.8423919888384408,0.581318678241384
196,-0.3897703162715095,1.0,0.6937728927471278
197,0.21528537843974116,0.7736946056012802,0.8444248195415787
198,0.09227569910800487,0.7269891475871056,0.7499999999999999
199,-1.0,0.9562965871865186,0.943772892747128
200,0.37592866600168723,0.8568000212051516,0.6375457854942559
201,0.5000000000000003,1.0,0.6937728927471278
202,0.08953637872290443,0.8057931531678852,0.19377289274712806
204,-0.6046341039727072,0.9004728514239031,0.8313186782413838
205,-1.0,0.33865011937618117,0.5611503609168422
206,-0.39914288444361257,0.9605979972096103,0.9999999999999999
207,-0.35273003677941245,1.0,0.655575180458421
208,0.031143837115094053,1.0,0.0
209,-0.08599338647499633,0.7105979972096103,0.3444248195415789
210,1.0,1.0,0.9999999999999999
211,0.9263650183897062,0.0,0.9999999999999999
212,0.9077243008919957,1.0,0.9999999999999999
213,0.03864728962607221,0.8490116908738399,0.8313186782413838
214,0.6467355562198429,0.9442068468321149,0.6937728927471278
215,1.0,1.0,0.9999999999999999
216,0.08846756472141507,0.521935854149805,0.443772892747128
217,0.2604543376714079,0.6098581374790255,0.6937728927471278
218,0.22045936745698122,0.678468867048275,0.9006519267944507
